date_id,factor_code,calc_version,universe_count,valid_count,coverage,rank_ic_1m,icir_1m,rank_ic_3m,icir_3m,rank_ic_6m,icir_6m,raw_rank_ic_1m,raw_icir_1m,raw_rank_ic_3m,raw_icir_3m,raw_rank_ic_6m,raw_icir_6m
20150130,accruals,v1,1582,1527,0.965234,-0.012853,0.357892,0.008646,0.72855,-0.015004,1.215305,-0.075635,0.211417,-0.000641,0.49856,-0.04384,0.838447
20150130,bp_mrq,v1,1582,1582,1.0,-0.085194,0.61027,0.067471,0.919814,0.000531,1.145666,-0.25257,0.28927,-0.016772,0.481868,-0.090616,0.612919
20150130,cfp_ttm,v1,1582,1527,0.965234,-0.012616,0.674564,-0.03551,1.017288,-0.016198,1.428307,-0.132161,0.271694,-0.094081,0.457473,-0.06517,0.619696
20150130,div_yield_ttm,v1,1582,1582,1.0,-0.012841,0.629696,-0.040669,0.872906,0.027047,1.165816,-0.119593,0.250628,-0.138638,0.366375,-0.036304,0.505118
20150130,earnings_accel_2q_avg,v1,1582,1472,0.930468,0.051466,0.390516,0.017231,0.500094,0.062212,0.643093,0.067973,0.302138,0.000395,0.413515,0.050961,0.553727
20150130,ep_ttm,v1,1582,1582,1.0,-0.04172,0.568577,-0.082098,0.689126,0.025403,0.867502,-0.17506,0.261088,-0.185814,0.3145,-0.049044,0.349007
20150130,fcfe_to_equity,v1,1582,1523,0.962705,0.026324,0.234265,-0.011812,0.191946,-0.003057,0.360807,0.016056,0.13394,-0.022386,0.067703,-0.020766,0.175798
20150130,mom_6_1,v1,1582,1574,0.994943,-0.086652,-0.154818,0.030121,-0.146149,-0.043936,-0.096459,-0.17481,-0.104167,-0.018928,-0.000672,-0.108215,0.066693
20150130,profit_growth_yoy,v1,1582,1582,1.0,0.027869,0.318454,-0.064613,0.310166,0.035993,0.237776,0.045283,0.225454,-0.073733,0.208703,0.03099,0.146901
20150130,revenue_growth_yoy,v1,1582,1582,1.0,0.055048,0.307739,-0.042819,0.304057,0.074828,0.244405,0.160054,0.185214,-0.01404,0.156902,0.091939,0.085729
20150130,reversal_1m,v1,1582,1582,1.0,-0.080927,0.624879,0.007226,0.555557,-0.045001,0.490022,-0.237105,0.423724,-0.095334,0.440815,-0.168497,0.34638
20150130,reversal_3y_6m,v1,1582,1396,0.882427,-0.10602,0.195368,0.098274,0.454155,0.012641,0.764196,-0.224101,0.105354,0.028131,0.329672,-0.0817,0.6174
20150130,roe_stability_12q,v1,1582,1486,0.939317,0.066216,0.443852,0.024663,0.619553,0.042019,0.796442,0.106646,0.341148,0.039002,0.416029,0.070881,0.516131
20150130,roe_ttm_12q_avg,v1,1582,1486,0.939317,0.026647,0.3794,-0.10664,0.43613,0.001716,0.571549,-0.082717,0.150694,-0.19711,0.140762,-0.049049,0.150848
20150130,sp_ttm,v1,1582,1582,1.0,-0.066571,0.485371,0.061215,0.769197,-0.00997,1.000664,-0.198714,0.252492,-0.047957,0.43479,-0.085465,0.573979
20150130,turnover_126d,v1,1582,1582,1.0,-0.009563,0.775957,0.044449,1.39458,0.07418,1.713114,-0.181997,0.321295,-0.094062,0.532075,0.00438,0.620675
20150130,turnover_21d,v1,1582,1582,1.0,0.021618,0.954622,0.063236,1.69456,0.086242,1.976091,-0.115238,0.463791,-0.03309,0.716867,0.05166,0.808131
20150130,volatility_252d,v1,1582,1582,1.0,-0.116335,0.640687,0.004865,1.166378,0.036313,1.571596,-0.299316,0.346019,-0.109355,0.632278,-0.034326,0.794059
20150227,accruals,v1,1598,1543,0.965582,-0.02805,0.357892,-0.028876,0.72855,0.060265,1.215305,-0.03265,0.211417,-0.058022,0.49856,0.056036,0.838447
20150227,bp_mrq,v1,1598,1598,1.0,0.075049,0.61027,-0.022609,0.919814,0.089085,1.145666,-0.006671,0.28927,-0.203057,0.481868,0.102197,0.612919
20150227,cfp_ttm,v1,1598,1543,0.965582,-0.030426,0.674564,-0.050214,1.017288,0.063977,1.428307,-0.089642,0.271694,-0.17154,0.457473,0.080321,0.619696
20150227,div_yield_ttm,v1,1598,1598,1.0,-0.003646,0.629696,-0.028979,0.872906,0.04885,1.165816,-0.098875,0.250628,-0.205717,0.366375,0.058642,0.505118
20150227,earnings_accel_2q_avg,v1,1598,1488,0.931164,0.012434,0.390516,0.030681,0.500094,0.05878,0.643093,-0.008727,0.302138,0.020558,0.413515,0.016987,0.553727
20150227,ep_ttm,v1,1598,1598,1.0,0.01487,0.568577,-0.044373,0.689126,0.058918,0.867502,-0.104674,0.261088,-0.245472,0.3145,0.091921,0.349007
20150227,fcfe_to_equity,v1,1598,1538,0.962453,0.020931,0.234265,0.003967,0.191946,0.009506,0.360807,0.019278,0.13394,-0.026255,0.067703,0.008757,0.175798
20150227,mom_6_1,v1,1598,1595,0.998123,-0.017286,-0.154818,0.01147,-0.146149,-0.02769,-0.096459,-0.081789,-0.104167,-0.117788,-0.000672,-0.029903,0.066693
20150227,profit_growth_yoy,v1,1598,1598,1.0,0.016085,0.318454,-0.010093,0.310166,-0.008174,0.237776,-0.010101,0.225454,-0.043825,0.208703,-0.006733,0.146901
20150227,revenue_growth_yoy,v1,1598,1598,1.0,0.023029,0.307739,0.005048,0.304057,0.016438,0.244405,0.022139,0.185214,0.015414,0.156902,-0.006137,0.085729
20150227,reversal_1m,v1,1598,1598,1.0,0.072653,0.624879,-0.007823,0.555557,0.053975,0.490022,-0.036643,0.423724,-0.168453,0.440815,0.046843,0.34638
20150227,reversal_3y_6m,v1,1598,1430,0.894869,0.056235,0.195368,0.037146,0.454155,0.095578,0.764196,-0.030595,0.105354,-0.134386,0.329672,0.055526,0.6174
20150227,roe_stability_12q,v1,1598,1497,0.936796,0.057386,0.443852,0.06801,0.619553,0.051223,0.796442,0.035758,0.341148,0.080753,0.416029,0.064393,0.516131
20150227,roe_ttm_12q_avg,v1,1598,1497,0.936796,-0.050444,0.3794,-0.037929,0.43613,-0.00265,0.571549,-0.13968,0.150694,-0.188045,0.140762,0.014703,0.150848
20150227,sp_ttm,v1,1598,1598,1.0,0.039157,0.485371,-0.048535,0.769197,0.064736,1.000664,-0.041519,0.252492,-0.191623,0.43479,0.079325,0.573979
20150227,turnover_126d,v1,1598,1598,1.0,0.059168,0.775957,0.067167,1.39458,0.119787,1.713114,-0.092027,0.321295,-0.162741,0.532075,0.136857,0.620675
20150227,turnover_21d,v1,1598,1598,1.0,0.10199,0.954622,0.062788,1.69456,0.13606,1.976091,-0.054847,0.463791,-0.163738,0.716867,0.145119,0.808131
20150227,volatility_252d,v1,1598,1598,1.0,0.078869,0.640687,0.015573,1.166378,0.135073,1.571596,-0.006764,0.346019,-0.112455,0.632278,0.186398,0.794059
20150331,accruals,v1,1541,1488,0.965607,0.008886,0.357892,0.013559,0.72855,0.030244,1.215305,0.033651,0.211417,0.033098,0.49856,0.014841,0.838447
20150331,bp_mrq,v1,1541,1541,1.0,0.113382,0.61027,0.095528,0.919814,0.055769,1.145666,0.159034,0.28927,0.116131,0.481868,0.033608,0.612919
20150331,cfp_ttm,v1,1541,1488,0.965607,-0.031939,0.674564,0.000891,1.017288,0.059286,1.428307,0.005145,0.271694,-0.01052,0.457473,0.070896,0.619696
20150331,div_yield_ttm,v1,1541,1541,1.0,-0.035165,0.629696,-0.03302,0.872906,0.054789,1.165816,-0.035304,0.250628,-0.081806,0.366375,0.072136,0.505118
20150331,earnings_accel_2q_avg,v1,1541,1442,0.935756,0.023801,0.390516,0.013991,0.500094,0.065549,0.643093,0.013166,0.302138,-0.009581,0.413515,0.047229,0.553727
20150331,ep_ttm,v1,1541,1541,1.0,-0.057827,0.568577,-0.009719,0.689126,0.088565,0.867502,-0.03823,0.261088,-0.069637,0.3145,0.121335,0.349007
20150331,fcfe_to_equity,v1,1541,1485,0.96366,-0.024743,0.234265,-0.015996,0.191946,-0.001519,0.360807,-0.025176,0.13394,-0.039556,0.067703,0.001291,0.175798
20150331,mom_6_1,v1,1541,1538,0.998053,0.071482,-0.154818,-0.002911,-0.146149,-0.052641,-0.096459,0.070217,-0.104167,-0.090853,-0.000672,-0.079961,0.066693
20150331,profit_growth_yoy,v1,1541,1541,1.0,-0.076083,0.318454,-0.043738,0.310166,0.031662,0.237776,-0.08952,0.225454,-0.088141,0.208703,0.046423,0.146901
20150331,revenue_growth_yoy,v1,1541,1541,1.0,-0.079636,0.307739,-0.049021,0.304057,0.034353,0.244405,-0.097979,0.185214,-0.11349,0.156902,0.030087,0.085729
20150331,reversal_1m,v1,1541,1541,1.0,0.052332,0.624879,0.026953,0.555557,0.123762,0.490022,0.058665,0.423724,0.000956,0.440815,0.114374,0.34638
20150331,reversal_3y_6m,v1,1541,1369,0.888384,0.130638,0.195368,0.096347,0.454155,-0.027963,0.764196,0.156358,0.105354,0.092292,0.329672,-0.08252,0.6174
20150331,roe_stability_12q,v1,1541,1435,0.931213,-0.048442,0.443852,-0.036772,0.619553,0.01846,0.796442,-0.03414,0.341148,-0.051194,0.416029,0.071684,0.516131
20150331,roe_ttm_12q_avg,v1,1541,1435,0.931213,-0.113208,0.3794,-0.064972,0.43613,0.041683,0.571549,-0.106873,0.150694,-0.135265,0.140762,0.08182,0.150848
20150331,sp_ttm,v1,1541,1541,1.0,0.104779,0.485371,0.076506,0.769197,0.057989,1.000664,0.104616,0.252492,0.081197,0.43479,0.04571,0.573979
20150331,turnover_126d,v1,1541,1541,1.0,0.070387,0.775957,0.068665,1.39458,0.079607,1.713114,0.093466,0.321295,0.054091,0.532075,0.121626,0.620675
20150331,turnover_21d,v1,1541,1541,1.0,0.126933,0.954622,0.107866,1.69456,0.10771,1.976091,0.135263,0.463791,0.065388,0.716867,0.121674,0.808131
20150331,volatility_252d,v1,1541,1541,1.0,0.036727,0.640687,0.075337,1.166378,0.092214,1.571596,0.065408,0.346019,0.098642,0.632278,0.146497,0.794059
20150430,accruals,v1,1557,1502,0.964676,-0.059237,0.357892,-0.025432,0.72855,0.020294,1.215305,-0.116862,0.211417,-0.042858,0.49856,-0.038286,0.838447
20150430,bp_mrq,v1,1557,1557,1.0,-0.108116,0.61027,0.044246,0.919814,-0.032227,1.145666,-0.365938,0.28927,-0.009193,0.481868,-0.146236,0.612919
20150430,cfp_ttm,v1,1557,1502,0.964676,-0.052746,0.674564,0.06894,1.017288,0.052851,1.428307,-0.215795,0.271694,0.044616,0.457473,-0.029162,0.619696
20150430,div_yield_ttm,v1,1557,1557,1.0,-0.013464,0.629696,0.108476,0.872906,0.062303,1.165816,-0.194401,0.250628,0.085004,0.366375,0.007056,0.505118
20150430,earnings_accel_2q_avg,v1,1557,1504,0.96596,0.032164,0.390516,0.028871,0.500094,0.030482,0.643093,0.066302,0.302138,0.025284,0.413515,0.05554,0.553727
20150430,ep_ttm,v1,1557,1557,1.0,-0.005246,0.568577,0.158543,0.689126,0.081153,0.867502,-0.200283,0.261088,0.187111,0.3145,0.055556,0.349007
20150430,fcfe_to_equity,v1,1557,1499,0.962749,0.035448,0.234265,0.019966,0.191946,0.002354,0.360807,0.048001,0.13394,0.000578,0.067703,-0.012982,0.175798
20150430,mom_6_1,v1,1557,1551,0.996146,-0.035503,-0.154818,-0.107254,-0.146149,-0.115887,-0.096459,-0.187696,-0.104167,-0.157331,-0.000672,-0.212055,0.066693
20150430,profit_growth_yoy,v1,1557,1557,1.0,0.060184,0.318454,0.076555,0.310166,0.085678,0.237776,0.031002,0.225454,0.098934,0.208703,0.11883,0.146901
20150430,revenue_growth_yoy,v1,1557,1557,1.0,0.072606,0.307739,0.109802,0.304057,0.10439,0.244405,0.111197,0.185214,0.129702,0.156902,0.15139,0.085729
20150430,reversal_1m,v1,1557,1557,1.0,0.025888,0.624879,0.068265,0.555557,0.057304,0.490022,0.082644,0.423724,0.07765,0.440815,0.091338,0.34638
20150430,reversal_3y_6m,v1,1557,1387,0.890816,-0.095205,0.195368,-0.040556,0.454155,-0.106404,0.764196,-0.328649,0.105354,-0.131752,0.329672,-0.267224,0.6174
20150430,roe_stability_12q,v1,1557,1478,0.949261,0.086933,0.443852,0.024915,0.619553,0.072773,0.796442,0.130325,0.341148,0.068761,0.416029,0.160806,0.516131
20150430,roe_ttm_12q_avg,v1,1557,1478,0.949261,0.039303,0.3794,0.119385,0.43613,0.074955,0.571549,-0.096969,0.150694,0.146365,0.140762,0.062256,0.150848
20150430,sp_ttm,v1,1557,1557,1.0,-0.152838,0.485371,0.002458,0.769197,-0.023712,1.000664,-0.307951,0.252492,-0.007429,0.43479,-0.09906,0.573979
20150430,turnover_126d,v1,1557,1557,1.0,0.017077,0.775957,0.065123,1.39458,0.036844,1.713114,-0.183199,0.321295,0.099856,0.532075,-0.020872,0.620675
20150430,turnover_21d,v1,1557,1557,1.0,0.043693,0.954622,0.080087,1.69456,0.058603,1.976091,-0.140687,0.463791,0.10158,0.716867,-0.007141,0.808131
20150430,volatility_252d,v1,1557,1557,1.0,-0.033004,0.640687,0.118143,1.166378,0.073896,1.571596,-0.164509,0.346019,0.141507,0.632278,0.054114,0.794059
20150529,accruals,v1,1508,1454,0.964191,0.079991,0.357892,0.068059,0.72855,0.011656,1.215305,0.156852,0.211417,0.103225,0.49856,0.009924,0.838447
20150529,bp_mrq,v1,1508,1508,1.0,0.282933,0.61027,0.256495,0.919814,0.119709,1.145666,0.513087,0.28927,0.465523,0.481868,0.123964,0.612919
20150529,cfp_ttm,v1,1508,1454,0.964191,0.148393,0.674564,0.196125,1.017288,0.087289,1.428307,0.251724,0.271694,0.327784,0.457473,0.076795,0.619696
20150529,div_yield_ttm,v1,1508,1508,1.0,0.01983,0.629696,0.097662,0.872906,0.05682,1.165816,0.116308,0.250628,0.228501,0.366375,0.063532,0.505118
20150529,earnings_accel_2q_avg,v1,1508,1464,0.970822,-0.007421,0.390516,-0.025342,0.500094,0.032295,0.643093,-0.094348,0.302138,-0.08582,0.413515,0.013618,0.553727
20150529,ep_ttm,v1,1508,1508,1.0,0.136072,0.568577,0.240417,0.689126,0.158649,0.867502,0.241899,0.261088,0.417118,0.3145,0.177676,0.349007
20150529,fcfe_to_equity,v1,1508,1449,0.960875,-0.004713,0.234265,-0.037283,0.191946,-0.020697,0.360807,-0.009546,0.13394,-0.067145,0.067703,-0.053153,0.175798
20150529,mom_6_1,v1,1508,1506,0.998674,-0.060623,-0.154818,-0.118018,-0.146149,-0.067285,-0.096459,-0.063801,-0.104167,-0.093477,-0.000672,-0.147277,0.066693
