calc_version,year,style,style_name,style_order,horizon,horizon_months,signal_type,signal_name,month_count,factor_count,factor_month_obs,win_rate,ic_std,is_partial_year,metric,metric_name,value
v1,2015,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.75,0.080054,False,IC,IC Mean,0.047372
v1,2015,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.75,0.023251,False,IC,IC Mean,0.012342
v1,2015,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.75,0.047127,False,IC,IC Mean,0.029396
v1,2015,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.25,0.068012,False,IC,IC Mean,-0.027777
v1,2015,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.75,0.086153,False,IC,IC Mean,0.064603
v1,2015,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.833333,0.075133,False,IC,IC Mean,0.053185
v1,2016,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.916667,0.064413,False,IC,IC Mean,0.071302
v1,2016,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.833333,0.017417,False,IC,IC Mean,0.015482
v1,2016,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.583333,0.044727,False,IC,IC Mean,0.013888
v1,2016,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.416667,0.063478,False,IC,IC Mean,-0.026555
v1,2016,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.916667,0.056164,False,IC,IC Mean,0.069814
v1,2016,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.75,0.112312,False,IC,IC Mean,0.10856
v1,2017,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.916667,0.048182,False,IC,IC Mean,0.060449
v1,2017,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.916667,0.024004,False,IC,IC Mean,0.020598
v1,2017,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.833333,0.032107,False,IC,IC Mean,0.042571
v1,2017,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.5,0.068996,False,IC,IC Mean,0.014025
v1,2017,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.833333,0.045338,False,IC,IC Mean,0.036692
v1,2017,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.833333,0.076717,False,IC,IC Mean,0.081227
v1,2018,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.833333,0.052081,False,IC,IC Mean,0.040087
v1,2018,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,1.0,0.010704,False,IC,IC Mean,0.017054
v1,2018,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.666667,0.05411,False,IC,IC Mean,0.022096
v1,2018,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.666667,0.103341,False,IC,IC Mean,0.024259
v1,2018,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.583333,0.052704,False,IC,IC Mean,0.036516
v1,2018,risk,风险,6,1M,1,neutralized,Neutralized,12,3,36,0.75,0.113678,False,IC,IC Mean,0.080977
v1,2019,value,价值,1,1M,1,neutralized,Neutralized,12,5,60,0.75,0.042633,False,IC,IC Mean,0.02924
v1,2019,quality,质量,2,1M,1,neutralized,Neutralized,12,4,48,0.916667,0.021545,False,IC,IC Mean,0.022406
v1,2019,growth,成长,3,1M,1,neutralized,Neutralized,12,3,36,0.666667,0.064668,False,IC,IC Mean,0.036438
v1,2019,momentum,动量,4,1M,1,neutralized,Neutralized,12,1,12,0.5,0.089277,False,IC,IC Mean,-0.004856
v1,2019,reversal,反转,5,1M,1,neutralized,Neutralized,12,2,24,0.583333,0.047857,False,IC,IC Mean,0.019821
