日期,开盘价,收盘价,最高价,最低价,成交量(万手)
2026-06-18,5805.82,5895.59,5926.07,5805.48,17479.5
2026-06-17,5687.41,5830.88,5832.94,5687.41,15961.4
2026-06-16,5726.28,5733.91,5772.92,5702.39,16128.6
2026-06-15,5575.58,5708.15,5708.47,5525.89,17624.4
2026-06-12,5548.58,5492.45,5569.34,5486.35,18220.7
2026-06-11,5426.22,5434.25,5497.97,5380.81,13626.3
2026-06-10,5467.07,5448.06,5512.23,5400.45,13706.4
2026-06-09,5455.80,5538.52,5540.29,5394.93,14465.1
2026-06-08,5388.59,5398.79,5494.06,5343.98,15725.6
2026-06-05,5689.35,5564.64,5709.43,5535.51,16541.1
2026-06-04,5694.34,5711.70,5752.99,5685.40,16426.2
2026-06-03,5728.38,5758.45,5837.08,5703.02,18761.1
2026-06-02,5649.05,5713.86,5744.50,5579.29,16858.7
2026-06-01,5727.36,5615.31,5755.03,5606.82,17521.3
2026-05-29,5840.93,5716.63,5843.66,5684.96,18369.3
2026-05-28,5763.60,5805.72,5814.77,5685.26,16341.1
2026-05-27,5847.86,5787.93,5901.69,5763.30,17338.5
2026-05-26,5795.12,5851.33,5865.51,5754.92,17711.2
2026-05-25,5751.62,5817.15,5817.58,5698.54,15825.9
2026-05-22,5678.27,5729.27,5737.98,5633.08,15553.4
2026-05-21,5789.06,5627.31,5860.55,5623.20,19312.7
2026-05-20,5682.39,5740.00,5756.70,5681.24,15605.6
2026-05-19,5670.68,5711.07,5714.19,5583.14,16009.4
2026-05-18,5689.08,5693.45,5751.87,5652.05,15194.0
2026-05-15,5782.68,5724.26,5830.48,5665.79,18582.8
2026-05-14,5947.36,5786.36,5949.70,5782.11,17365.4
2026-05-13,5778.32,5904.99,5909.94,5777.08,15373.5
2026-05-12,5840.88,5815.04,5846.14,5779.79,15894.0
2026-05-11,5752.13,5815.01,5825.83,5716.04,16331.9
2026-05-08,5690.38,5699.21,5728.50,5669.36,15721.4
2026-05-07,5725.08,5735.94,5739.32,5674.49,15726.7
2026-05-06,5659.20,5691.91,5721.70,5626.30,16082.5
2026-04-30,5601.53,5577.27,5614.28,5559.06,14353.5
2026-04-29,5458.30,5591.69,5596.26,5458.30,14464.9
2026-04-28,5520.77,5491.22,5536.56,5470.38,13264.9
2026-04-27,5537.81,5543.44,5564.47,5517.63,13630.3
2026-04-24,5514.43,5533.32,5562.32,5480.90,13213.3
2026-04-23,5602.80,5544.16,5607.95,5501.05,14372.9
2026-04-22,5494.49,5579.95,5582.46,5494.49,12479.1
2026-04-21,5501.77,5524.63,5532.10,5445.06,12503.9
2026-04-20,5483.08,5511.86,5524.26,5461.23,12497.2
2026-04-17,5482.83,5491.45,5500.76,5464.55,10968.8
2026-04-16,5404.00,5496.21,5499.55,5393.63,11394.9
2026-04-15,5463.94,5381.56,5471.71,5361.00,11958.0
2026-04-14,5382.58,5424.19,5424.87,5361.96,12247.2
2026-04-13,5302.43,5340.31,5354.54,5300.73,11905.0
2026-04-10,5267.32,5326.01,5352.03,5259.86,12122.0
2026-04-09,5210.79,5230.20,5254.49,5195.15,11410.9
2026-04-08,5134.22,5249.77,5249.77,5133.32,14229.4
2026-04-07,5030.89,5023.23,5055.06,4998.18,8600.7
2026-04-03,5093.10,5021.83,5094.35,5018.87,8914.2
2026-04-02,5130.86,5074.14,5139.45,5047.19,11084.4
2026-04-01,5151.19,5145.04,5160.55,5104.56,12003.3
2026-03-31,5146.24,5058.93,5171.16,5058.93,12532.3
2026-03-30,5119.06,5152.68,5160.47,5076.66,13454.5
2026-03-27,5042.72,5162.76,5189.02,5041.44,12553.7
2026-03-26,5147.49,5099.12,5182.27,5087.05,13078.5
2026-03-25,5119.74,5160.88,5170.87,5117.41,15447.1
2026-03-24,5058.65,5067.41,5067.41,4934.90,14752.0
2026-03-23,5081.81,5003.12,5134.43,4974.33,17477.6
2026-03-20,5196.02,5166.25,5261.94,5159.23,14687.0
2026-03-19,5210.52,5157.02,5239.86,5139.46,13801.3
2026-03-18,5255.47,5275.23,5280.47,5191.37,11948.5
2026-03-17,5339.29,5236.88,5363.34,5236.88,13104.5
2026-03-16,5315.76,5316.81,5321.47,5234.15,15406.4
2026-03-13,5310.68,5313.90,5379.70,5300.43,16061.6
2026-03-12,5371.86,5337.32,5372.30,5295.30,15545.7
2026-03-11,5344.91,5371.92,5398.76,5344.91,15263.4
2026-03-10,5302.78,5336.61,5340.14,5302.56,14120.3
2026-03-09,5212.44,5245.63,5263.12,5125.43,17918.0
2026-03-06,5260.35,5298.18,5317.46,5241.68,13616.6
2026-03-05,5322.54,5291.95,5336.33,5261.19,15269.5
2026-03-04,5230.39,5240.42,5306.68,5214.35,16950.6
2026-03-03,5447.06,5295.52,5464.35,5289.18,20054.2
2026-03-02,5372.33,5436.58,5443.36,5356.46,19987.6
2026-02-27,5373.99,5408.82,5417.33,5373.15,15529.3
2026-02-26,5434.02,5418.45,5434.77,5385.54,14523.6
2026-02-25,5363.69,5424.42,5448.19,5356.87,15616.5
2026-02-24,5382.42,5354.14,5385.92,5333.30,13274.8
2026-02-13,5322.68,5283.39,5344.22,5279.93,12069.1
2026-02-12,5344.05,5366.45,5378.07,5341.69,13200.6
2026-02-11,5325.43,5332.51,5346.63,5315.73,12550.6
2026-02-10,5340.17,5336.44,5359.05,5324.16,11650.8
2026-02-09,5325.16,5341.03,5344.08,5295.55,11478.7
2026-02-06,5194.87,5244.99,5298.41,5176.79,13691.8
2026-02-05,5284.30,5266.16,5312.36,5227.00,14271.4
2026-02-04,5300.92,5339.12,5344.41,5264.44,15530.9
2026-02-03,5264.87,5309.95,5312.19,5190.77,15330.6
2026-02-02,5300.89,5199.77,5348.49,5194.21,16582.1
2026-01-30,5370.89,5351.33,5387.88,5242.88,18753.5
2026-01-29,5439.58,5420.18,5447.72,5386.65,20401.3
2026-01-28,5407.62,5422.84,5446.01,5364.72,18642.2
2026-01-27,5365.38,5382.93,5413.24,5317.20,17924.6
2026-01-26,5412.55,5369.48,5427.06,5351.33,19163.8
2026-01-23,5365.88,5383.16,5390.45,5345.08,18659.4
2026-01-22,5376.70,5355.91,5404.81,5318.98,13152.4
2026-01-21,5302.32,5355.90,5380.70,5302.32,12265.4
2026-01-20,5361.33,5312.24,5371.41,5261.29,14041.6
2026-01-19,5333.54,5353.98,5391.67,5332.34,13253.8
2026-01-16,5375.59,5342.43,5401.08,5323.88,15594.9
2026-01-15,5261.47,5335.76,5337.25,5259.82,16474.0
2026-01-14,5290.41,5288.28,5361.84,5243.53,19826.9
2026-01-13,5315.78,5274.03,5372.91,5253.78,16044.2
2026-01-12,5293.29,5311.46,5318.83,5235.47,15243.0
2026-01-09,5207.50,5274.23,5287.76,5207.50,14195.9
2026-01-08,5248.06,5233.09,5279.27,5207.54,14474.1
2026-01-07,5281.22,5272.03,5302.59,5234.33,16081.1
2026-01-06,5194.20,5263.69,5263.69,5194.20,17284.2
2026-01-05,5106.89,5186.21,5190.03,5106.89,14217.1
2025-12-31,5105.25,5065.19,5119.70,5053.11,11107.4
2025-12-30,5028.48,5094.29,5105.67,5028.17,10979.3
2025-12-29,5112.55,5062.10,5115.07,5049.52,12365.6
2025-12-26,5077.24,5107.21,5130.38,5068.89,11227.5
2025-12-25,5050.04,5070.41,5083.27,5023.44,8692.1
2025-12-24,5044.93,5058.78,5063.42,5017.14,9314.0
2025-12-23,5031.33,5037.39,5070.99,5016.62,9579.8
2025-12-22,4981.87,5025.66,5030.58,4981.87,9818.6
2025-12-19,4933.93,4947.28,4976.97,4913.40,9020.5
2025-12-18,4938.92,4916.22,4970.54,4916.22,7869.1
2025-12-17,4871.51,4977.62,4989.46,4871.51,9410.9
2025-12-16,4929.30,4862.75,4937.48,4841.01,9177.8
2025-12-15,4958.15,4939.08,4997.26,4938.62,8724.5
2025-12-12,4958.81,4995.43,4999.41,4924.61,12598.1
2025-12-11,4998.82,4941.89,5032.57,4940.78,10351.9
2025-12-10,4958.71,4986.64,4995.57,4908.99,9497.4
2025-12-09,4983.24,4969.41,5013.64,4950.15,10261.3
2025-12-08,4951.51,4999.99,5018.72,4942.75,11049.9
2025-12-05,4905.18,4945.49,4952.76,4878.33,10195.0
2025-12-04,4875.94,4900.60,4910.61,4850.69,9349.8
2025-12-03,4897.82,4867.81,4918.11,4855.22,10405.5
2025-12-02,4921.58,4892.97,4924.48,4876.64,9370.7
2025-12-01,4894.79,4931.44,4932.37,4882.55,11950.0
2025-11-28,4824.59,4866.49,4877.37,4808.78,9001.5
2025-11-27,4838.86,4824.75,4908.82,4818.98,9411.6
2025-11-26,4791.65,4834.89,4873.18,4778.26,9738.2
2025-11-25,4778.98,4790.18,4834.93,4767.63,10652.3
2025-11-24,4758.90,4733.29,4765.30,4686.14,11294.4
2025-11-21,4803.69,4733.33,4818.71,4733.22,13731.9
2025-11-20,4970.56,4886.64,4975.23,4881.43,11214.5
2025-11-19,4908.17,4928.26,4959.11,4902.90,12104.1
2025-11-18,4944.18,4906.57,4967.95,4884.29,14552.4
2025-11-17,4967.27,4961.09,4987.53,4935.83,14755.9
2025-11-14,5019.39,4978.64,5049.10,4978.64,14684.3
2025-11-13,4977.51,5076.52,5082.56,4973.34,14589.2
2025-11-12,4976.98,4978.12,5010.78,4934.42,13413.5
2025-11-11,5066.65,4992.38,5075.50,4986.06,12586.5
2025-11-10,5066.06,5045.31,5082.95,5005.90,15703.8
2025-11-07,5017.53,5044.41,5074.49,5002.53,14512.0
2025-11-06,4968.12,5044.62,5051.76,4968.12,14310.4
2025-11-05,4833.89,4946.74,4966.61,4833.89,12486.5
2025-11-04,4999.70,4919.94,5014.41,4890.13,12392.5
2025-11-03,4999.89,5006.51,5016.48,4913.87,14230.5
2025-10-31,5077.63,5009.11,5108.29,5009.11,16067.5
2025-10-30,5136.38,5092.95,5161.84,5086.30,16218.9
2025-10-29,5070.50,5156.84,5156.88,5070.16,14660.2
2025-10-28,5051.61,5053.59,5110.82,5034.66,13013.1
2025-10-27,5061.40,5074.07,5081.27,5021.41,15204.9
2025-10-24,4934.17,5001.97,5001.97,4934.17,12686.9
2025-10-23,4866.30,4903.43,4909.70,4813.73,11808.4
2025-10-22,4875.04,4886.34,4910.59,4856.72,10831.4
2025-10-21,4853.96,4922.01,4936.16,4836.82,12573.6
2025-10-20,4846.92,4824.47,4878.57,4799.47,12149.6
2025-10-17,4924.14,4785.20,4932.38,4780.46,13930.7
2025-10-16,4914.15,4930.68,4981.46,4908.77,13873.7
2025-10-15,4861.75,4938.59,4939.61,4822.28,15009.1
2025-10-14,5046.17,4853.75,5050.76,4828.78,19177.7
2025-10-13,4837.22,4986.38,4995.16,4837.22,17052.4
2025-10-10,5135.47,5016.61,5135.47,4994.23,18085.4
2025-10-09,5131.97,5177.42,5213.03,5113.01,19709.5
2025-09-30,5056.10,5088.38,5099.64,5053.95,14573.9
2025-09-29,4954.11,5042.41,5052.28,4948.02,15152.8
2025-09-26,4982.73,4936.71,5027.76,4935.51,14232.0
2025-09-25,4957.05,5003.50,5034.14,4949.52,15603.5
2025-09-24,4833.14,4957.62,4959.21,4829.04,15544.2
2025-09-23,4883.08,4862.32,4913.66,4770.60,17233.8
2025-09-22,4839.79,4853.14,4853.46,4792.02,13971.2
2025-09-19,4820.17,4822.50,4857.18,4798.55,17941.8
2025-09-18,4841.12,4814.59,4905.34,4753.25,21191.9
2025-09-17,4796.18,4853.95,4857.51,4780.14,15530.6
2025-09-16,4801.95,4801.00,4817.25,4738.60,17189.0
2025-09-15,4783.89,4790.88,4839.06,4774.11,16191.8
2025-09-12,4767.33,4751.85,4795.40,4743.98,16411.7
2025-09-11,4630.80,4773.95,4773.95,4617.27,15559.2
2025-09-10,4622.47,4637.19,4660.23,4590.08,13208.7
2025-09-09,4652.20,4630.38,4687.99,4603.09,15073.3
2025-09-08,4670.95,4683.45,4690.72,4630.26,17243.5
2025-09-05,4478.68,4648.88,4653.68,4472.44,16348.0
2025-09-04,4629.81,4476.05,4646.64,4425.75,17825.5
2025-09-03,4637.87,4618.05,4657.54,4571.76,15315.9
2025-09-02,4692.05,4618.82,4723.36,4576.39,18686.3
