日期,开盘价,收盘价,最高价,最低价,成交量(万手)
2026-06-18,6902.42,6769.25,6905.14,6769.25,23691.7
2026-06-17,6941.89,6924.53,6951.69,6899.69,19625.3
2026-06-16,7017.87,6946.84,7017.87,6935.54,20584.5
2026-06-15,7051.21,7039.15,7090.04,6996.33,25326.4
2026-06-12,6946.44,7036.41,7058.94,6919.41,24956.2
2026-06-11,6941.60,6940.01,6961.97,6906.25,17470.2
2026-06-10,6915.13,6952.12,6956.17,6899.00,19606.9
2026-06-09,6927.92,6963.54,6964.20,6905.80,19478.6
2026-06-08,6914.75,6929.13,6994.92,6891.49,22378.7
2026-06-05,7030.30,7003.94,7091.12,6992.00,21805.2
2026-06-04,7089.33,7041.89,7109.12,7021.95,20834.0
2026-06-03,7123.27,7124.32,7154.98,7079.74,23651.8
2026-06-02,7126.80,7143.33,7152.44,7098.10,23330.8
2026-06-01,7086.98,7136.33,7138.08,7060.47,25148.9
2026-05-29,7017.41,7087.05,7121.14,7008.14,26040.9
2026-05-28,7025.25,7012.25,7048.85,6979.22,20488.5
2026-05-27,7097.27,7045.18,7119.68,7014.66,21402.2
2026-05-26,7061.17,7113.67,7117.95,7050.43,20749.9
2026-05-25,7069.99,7076.50,7106.19,7048.21,19188.2
2026-05-22,7056.86,7052.80,7072.28,7012.66,18528.2
2026-05-21,7131.17,7037.63,7176.52,7036.90,21661.7
2026-05-20,7147.14,7126.37,7150.62,7104.67,18856.2
2026-05-19,7140.78,7169.38,7171.62,7125.08,20281.7
2026-05-18,7176.87,7146.20,7178.19,7114.37,19982.9
2026-05-15,7281.73,7200.99,7282.76,7174.16,23055.3
2026-05-14,7373.95,7290.29,7381.12,7290.29,24203.5
2026-05-13,7354.77,7362.72,7382.06,7329.71,20828.1
2026-05-12,7402.60,7368.23,7410.06,7357.60,22436.1
2026-05-11,7370.44,7396.56,7405.75,7350.96,23992.5
2026-05-08,7362.95,7357.81,7398.00,7328.53,21312.8
2026-05-07,7412.24,7379.14,7420.73,7360.29,22319.2
2026-05-06,7375.09,7406.08,7409.06,7332.83,22772.7
2026-04-30,7398.58,7362.15,7428.45,7349.92,21129.8
2026-04-29,7297.30,7402.89,7405.82,7296.42,21079.4
