日期,开盘价,收盘价,最高价,最低价,成交量(万手)
2026-06-18,5846.68,5965.56,5995.28,5845.17,7249.8
2026-06-17,5755.85,5869.27,5871.79,5750.58,6183.8
2026-06-16,5821.34,5802.52,5854.06,5784.52,5902.0
2026-06-15,5686.44,5802.09,5802.61,5626.03,6688.1
2026-06-12,5641.82,5599.13,5654.50,5591.02,6988.6
2026-06-11,5542.23,5529.45,5615.82,5466.74,4982.2
2026-06-10,5584.12,5565.34,5641.31,5527.17,4794.3
2026-06-09,5571.77,5647.66,5650.63,5513.55,5153.8
2026-06-08,5507.19,5526.67,5605.67,5474.22,5842.9
2026-06-05,5833.61,5680.98,5859.04,5650.89,6310.8
2026-06-04,5858.53,5852.28,5907.27,5835.75,6582.3
2026-06-03,5890.74,5919.84,6008.01,5862.57,7556.9
2026-06-02,5772.32,5870.48,5895.85,5731.46,6208.7
2026-06-01,5868.93,5726.76,5883.43,5717.03,6505.5
2026-05-29,5931.94,5851.17,5944.84,5822.64,6752.0
2026-05-28,5839.45,5894.44,5901.27,5756.75,5689.8
2026-05-27,5913.86,5870.07,5966.02,5845.27,6290.6
2026-05-26,5830.98,5915.44,5929.48,5820.42,6628.8
2026-05-25,5782.37,5854.18,5854.32,5727.96,5351.6
2026-05-22,5717.29,5756.95,5766.23,5672.46,5867.6
2026-05-21,5793.17,5663.87,5877.83,5661.03,7217.2
2026-05-20,5696.21,5732.76,5765.42,5694.61,4899.4
2026-05-19,5701.48,5727.63,5730.76,5615.88,4942.6
2026-05-18,5738.53,5726.42,5797.61,5688.12,4675.7
2026-05-15,5834.21,5780.02,5875.65,5719.94,5981.6
2026-05-14,6010.71,5844.50,6013.69,5824.57,5349.9
2026-05-13,5849.53,5959.03,5961.74,5833.57,5430.5
2026-05-12,5904.98,5888.45,5921.40,5856.19,5578.6
2026-05-11,5800.79,5875.99,5891.89,5766.27,5654.8
2026-05-08,5739.04,5748.55,5780.45,5726.35,5099.7
2026-05-07,5777.88,5785.03,5790.02,5722.77,5569.1
