日期,开盘价,收盘价,最高价,最低价,成交量(万手)
2026-06-18,7784.83,7578.67,7790.27,7578.67,8391.9
2026-06-17,7854.65,7798.23,7870.48,7767.46,6695.2
2026-06-16,7945.52,7845.22,7945.52,7831.26,6363.6
2026-06-15,8057.59,7973.79,8085.73,7936.73,8579.9
2026-06-12,7957.79,8066.64,8072.42,7923.51,8822.1
2026-06-11,7997.78,7997.61,8032.07,7959.95,5942.8
2026-06-10,7920.54,7999.57,8014.36,7894.67,6637.6
2026-06-09,7931.69,7959.85,7978.22,7919.97,6122.3
2026-06-08,7913.16,7967.39,8009.23,7912.94,7265.5
2026-06-05,7953.45,7958.35,8050.76,7947.77,6400.1
2026-06-04,8015.99,7959.71,8047.75,7942.84,5750.4
2026-06-03,8057.06,8040.14,8062.27,7981.25,6914.8
2026-06-02,8052.79,8071.64,8113.77,8025.02,7453.4
2026-06-01,7987.99,8066.91,8066.91,7966.24,7969.3
2026-05-29,7837.23,7991.00,8016.22,7826.94,8384.1
2026-05-28,7876.66,7839.28,7898.90,7828.54,5959.8
2026-05-27,7936.98,7899.83,7952.60,7847.67,6493.5
2026-05-26,7911.71,7944.17,7975.53,7907.97,6097.9
2026-05-25,7907.93,7918.38,7979.76,7890.96,5060.8
2026-05-22,7957.01,7908.54,7959.17,7892.63,6003.2
2026-05-21,8009.48,7945.30,8052.94,7944.23,6764.4
2026-05-20,8060.85,8003.45,8060.85,8003.45,6233.9
2026-05-19,8058.37,8072.37,8109.85,8040.08,7008.6
2026-05-18,8110.33,8058.22,8110.57,8029.47,6797.0
2026-05-15,8158.56,8122.59,8191.29,8100.02,6592.7
2026-05-14,8184.88,8164.71,8221.43,8162.58,6751.3
2026-05-13,8205.50,8178.93,8224.46,8149.81,6380.5
2026-05-12,8259.52,8220.12,8282.88,8209.86,6692.6
2026-05-11,8224.38,8259.04,8274.49,8194.17,7596.7
2026-05-08,8244.86,8226.30,8273.40,8212.87,5368.0
2026-05-07,8287.43,8248.53,8309.37,8240.93,6402.9
2026-05-06,8306.22,8287.69,8306.74,8235.27,7211.1
2026-04-30,8334.37,8308.13,8395.55,8304.73,7294.6
2026-04-29,8273.22,8345.11,8347.48,8269.34,7067.6
2026-04-28,8197.83,8282.07,8282.07,8196.87,5944.9
2026-04-27,8231.97,8209.53,8293.26,8201.98,5022.5
2026-04-24,8248.94,8244.66,8275.12,8217.85,4592.9
