日期,开盘价,收盘价,最高价,最低价,成交量(万手)
2026-06-18,5566.70,5609.97,5648.61,5566.39,5330.1
2026-06-17,5368.85,5595.21,5596.92,5368.85,5187.6
2026-06-16,5392.43,5415.52,5442.95,5371.21,5322.6
2026-06-15,5234.53,5379.23,5379.97,5187.45,5646.3
2026-06-12,5190.33,5152.80,5254.99,5147.21,5292.2
2026-06-11,5060.92,5091.31,5128.87,5045.40,3937.9
2026-06-10,5095.92,5087.58,5122.43,5030.02,4062.5
2026-06-09,5109.15,5190.54,5191.00,5031.44,4193.5
2026-06-08,5035.06,5042.08,5153.92,4982.88,4412.5
2026-06-05,5310.17,5211.07,5334.03,5183.03,4688.4
2026-06-04,5307.19,5332.21,5367.94,5306.42,4531.7
2026-06-03,5363.26,5386.02,5457.58,5334.44,5240.1
2026-06-02,5308.71,5345.65,5371.30,5192.24,5171.8
2026-06-01,5356.68,5291.90,5426.16,5283.72,5183.4
2026-05-29,5510.53,5358.91,5529.51,5328.56,5451.7
2026-05-28,5443.23,5478.21,5492.54,5364.01,4869.7
2026-05-27,5527.25,5464.08,5589.49,5440.13,5078.7
2026-05-26,5479.56,5537.80,5556.17,5414.09,4873.3
2026-05-25,5438.34,5500.11,5502.19,5396.72,4664.1
2026-05-22,5362.46,5428.58,5433.61,5323.37,4170.8
2026-05-21,5505.90,5312.68,5548.90,5306.34,4882.7
2026-05-20,5382.37,5476.95,5479.26,5372.89,4350.5
2026-05-19,5383.23,5413.34,5417.11,5284.20,4749.7
2026-05-18,5382.95,5400.18,5439.74,5354.02,4800.7
2026-05-15,5488.16,5414.16,5539.53,5368.52,5901.0
2026-05-14,5633.27,5486.77,5637.73,5486.77,5992.3
2026-05-13,5458.67,5604.87,5615.28,5458.67,4200.1
2026-05-12,5522.55,5485.26,5524.45,5450.44,4677.9
2026-05-11,5472.88,5492.94,5517.21,5424.86,4500.3
2026-05-08,5418.61,5419.96,5447.64,5379.39,5044.4
2026-05-07,5466.58,5456.75,5469.16,5401.56,4539.5
2026-05-06,5366.17,5435.78,5453.66,5353.43,4492.3
2026-04-30,5304.63,5299.50,5328.95,5269.48,4043.9
2026-04-29,5185.64,5321.24,5327.59,5175.78,4358.2
2026-04-28,5261.72,5217.47,5263.23,5195.77,3888.1
2026-04-27,5265.60,5283.78,5303.89,5248.99,3933.6
2026-04-24,5233.37,5264.17,5296.10,5197.40,3785.0
2026-04-23,5336.67,5255.01,5350.87,5211.38,4016.5
2026-04-22,5205.76,5318.54,5319.46,5204.37,3512.0
2026-04-21,5223.26,5234.37,5248.59,5172.25,3305.6
2026-04-20,5226.25,5247.96,5264.60,5189.42,3042.9
2026-04-17,5223.79,5236.91,5254.74,5215.47,3152.2
2026-04-16,5111.98,5241.17,5243.60,5106.45,3121.3
2026-04-15,5179.92,5092.85,5184.91,5076.16,3314.0
2026-04-14,5125.81,5144.43,5148.75,5093.16,3164.8
2026-04-13,5063.67,5071.02,5087.22,5041.37,3325.4
2026-04-10,5080.84,5093.63,5151.61,5068.86,3270.4
2026-04-09,5001.83,5039.85,5070.24,4979.87,2973.7
2026-04-08,4936.55,5050.72,5050.72,4935.24,3971.6
2026-04-07,4845.87,4832.70,4875.91,4809.49,2440.2
2026-04-03,4904.20,4836.78,4905.41,4827.31,2536.0
2026-04-02,4926.35,4875.22,4948.81,4847.65,2964.3
2026-04-01,4932.01,4936.98,4958.91,4894.47,3240.9
2026-03-31,4914.78,4833.50,4936.72,4833.50,3382.2
2026-03-30,4870.41,4911.48,4920.34,4821.46,3794.8
2026-03-27,4769.96,4898.28,4936.42,4769.96,3627.8
2026-03-26,4883.26,4835.09,4931.97,4821.53,3491.0
2026-03-25,4853.78,4892.27,4930.15,4853.01,4421.5
2026-03-24,4772.72,4791.29,4791.29,4647.89,4044.7
2026-03-23,4763.36,4711.27,4837.18,4683.34,4499.9
2026-03-20,4933.14,4861.45,4970.03,4853.23,4371.4
2026-03-19,4969.24,4893.54,4985.93,4875.84,4149.0
2026-03-18,5026.24,5041.02,5044.35,4954.94,3438.7
2026-03-17,5118.65,5005.08,5133.62,5002.69,3686.9
2026-03-16,5199.32,5128.74,5204.42,5043.69,4482.6
2026-03-13,5234.02,5202.78,5299.27,5186.82,4796.8
2026-03-12,5285.10,5258.64,5304.22,5206.76,4420.0
2026-03-11,5286.38,5287.01,5304.30,5268.69,4325.6
2026-03-10,5241.26,5284.20,5288.45,5235.77,4057.4
2026-03-09,5189.26,5202.60,5221.54,5064.75,4955.0
2026-03-06,5243.49,5267.61,5299.32,5216.37,3760.6
2026-03-05,5330.63,5279.72,5334.64,5238.20,4207.4
2026-03-04,5196.04,5246.57,5329.93,5196.04,4968.5
2026-03-03,5469.65,5273.55,5485.76,5264.26,5819.0
2026-03-02,5392.91,5457.82,5460.06,5374.71,5586.4
2026-02-27,5313.22,5422.92,5423.95,5313.19,3873.5
2026-02-26,5345.31,5367.43,5388.54,5327.22,3597.9
2026-02-25,5259.65,5320.04,5348.04,5247.91,4084.5
2026-02-24,5217.60,5235.92,5265.51,5202.22,3354.4
2026-02-13,5173.53,5111.53,5183.19,5106.26,2799.2
2026-02-12,5166.55,5228.55,5239.58,5163.55,3223.3
2026-02-11,5088.08,5143.26,5156.70,5088.08,3246.3
2026-02-10,5090.16,5092.00,5106.94,5064.73,2556.6
2026-02-09,5078.32,5093.01,5099.67,5038.14,3202.8
2026-02-06,4900.67,4983.43,5043.62,4887.19,3294.3
2026-02-05,5016.46,4981.29,5039.59,4927.37,3598.7
2026-02-04,5062.77,5092.62,5096.47,5021.89,3713.4
