日期,开盘价,收盘价,最高价,最低价,成交量(万手)
2026-06-18,6306.49,6261.64,6355.61,6255.45,7834.9
2026-06-17,6275.44,6343.61,6353.41,6275.44,6629.0
2026-06-16,6359.50,6305.70,6370.42,6288.19,7149.3
2026-06-15,6307.81,6374.06,6374.74,6302.59,8513.0
2026-06-12,6177.62,6256.04,6324.83,6146.89,8194.5
2026-06-11,6119.08,6118.97,6147.11,6084.52,5676.1
2026-06-10,6141.18,6143.13,6170.45,6089.97,6404.8
2026-06-09,6149.25,6204.57,6205.01,6078.02,6425.8
2026-06-08,6118.19,6104.73,6217.75,6064.18,7015.8
2026-06-05,6330.25,6262.79,6388.04,6242.97,7042.0
2026-06-04,6388.65,6346.22,6397.77,6324.17,7360.5
2026-06-03,6422.95,6440.20,6488.52,6406.10,8178.9
2026-06-02,6410.88,6449.34,6469.26,6347.51,8031.1
2026-06-01,6415.89,6418.01,6465.23,6365.28,8479.3
2026-05-29,6444.64,6419.99,6499.33,6407.27,8783.8
2026-05-28,6406.96,6433.15,6454.98,6356.69,7018.7
2026-05-27,6508.37,6431.63,6541.65,6401.44,7156.6
2026-05-26,6440.63,6530.49,6535.05,6383.50,7115.7
2026-05-25,6506.78,6469.78,6522.66,6418.56,6901.5
2026-05-22,6418.91,6475.50,6484.49,6398.90,5806.6
2026-05-21,6520.24,6385.09,6581.66,6383.38,6990.9
2026-05-20,6494.93,6514.23,6547.32,6471.07,5676.4
2026-05-19,6484.00,6531.30,6534.58,6419.17,6816.0
2026-05-18,6485.02,6492.18,6515.49,6446.95,6673.2
2026-05-15,6670.15,6528.47,6671.34,6496.30,7945.8
2026-05-14,6849.50,6689.31,6852.41,6689.31,8650.9
2026-05-13,6774.56,6833.29,6838.44,6774.56,6479.8
2026-05-12,6807.50,6787.67,6819.39,6755.95,7174.7
2026-05-11,6773.26,6788.03,6808.50,6755.57,7426.2
2026-05-08,6719.33,6738.01,6757.26,6686.28,7963.8
2026-05-07,6795.45,6747.62,6795.45,6703.69,7179.4
2026-05-06,6695.10,6780.87,6782.25,6664.85,7151.9
2026-04-30,6724.64,6657.97,6724.64,6632.31,6253.6
