日期,开盘价,收盘价,最高价,最低价,成交量(万手)
2026-06-18,7590.89,7648.94,7678.33,7579.83,4899.5
2026-06-17,7456.17,7628.24,7629.92,7455.85,4590.1
2026-06-16,7402.62,7513.78,7533.90,7385.34,4904.1
2026-06-15,7147.71,7375.90,7376.28,7131.73,5290.0
2026-06-12,7218.61,7060.65,7229.20,7045.64,5939.9
2026-06-11,6979.45,7040.62,7073.08,6958.10,4706.2
2026-06-10,7036.35,6993.88,7085.30,6906.98,4849.6
2026-06-09,6986.58,7122.18,7124.69,6891.05,5117.8
2026-06-08,6901.62,6880.73,7055.75,6808.06,5470.3
2026-06-05,7216.37,7134.10,7282.05,7096.42,5541.9
2026-06-04,7151.81,7260.71,7296.57,7151.81,5312.1
2026-06-03,7166.56,7220.72,7318.21,7151.82,5964.1
2026-06-02,7190.22,7177.49,7248.61,7037.36,5478.2
2026-06-01,7261.97,7169.53,7339.63,7158.07,5832.4
2026-05-29,7552.65,7256.77,7555.06,7200.82,6165.7
2026-05-28,7502.21,7513.01,7545.73,7384.66,5781.6
2026-05-27,7650.71,7512.18,7729.13,7479.92,5969.2
2026-05-26,7702.57,7651.48,7702.57,7524.99,6209.1
2026-05-25,7665.30,7727.96,7748.90,7576.27,5810.1
2026-05-22,7541.73,7629.35,7647.47,7471.51,5515.0
2026-05-21,7775.65,7485.65,7868.27,7472.82,7212.8
2026-05-20,7627.26,7728.36,7760.73,7605.45,6355.6
2026-05-19,7520.37,7648.29,7652.07,7414.08,6317.1
2026-05-18,7495.69,7549.56,7600.94,7460.33,5717.6
2026-05-15,7586.45,7520.19,7670.85,7420.43,6700.2
2026-05-14,7777.20,7571.56,7777.20,7571.56,6023.2
2026-05-13,7539.18,7739.92,7747.44,7520.37,5742.8
2026-05-12,7646.13,7592.99,7647.59,7533.61,5637.5
2026-05-11,7534.93,7632.67,7664.45,7501.15,6176.7
2026-05-08,7444.53,7465.07,7505.11,7408.70,5577.3
2026-05-07,7449.28,7512.51,7514.13,7411.04,5618.1
2026-05-06,7321.66,7405.30,7443.32,7314.69,5979.9
2026-04-30,7223.93,7241.78,7269.18,7193.98,5310.2
2026-04-29,7005.93,7218.42,7229.41,7005.93,5502.3
2026-04-28,7125.06,7058.74,7147.04,7028.57,5084.9
2026-04-27,7054.09,7127.81,7171.82,7039.44,5503.0
2026-04-24,7048.67,7082.59,7122.19,7027.62,5059.7
2026-04-23,7180.29,7094.47,7185.74,7031.13,5364.4
2026-04-22,7061.23,7169.79,7171.37,7060.65,4981.7
2026-04-21,7091.60,7097.72,7108.73,7021.20,5276.3
2026-04-20,7056.50,7096.48,7121.51,7035.20,5289.1
2026-04-17,7007.65,7043.23,7057.07,6979.94,4419.6
2026-04-16,6926.56,7023.31,7030.77,6901.63,4517.7
2026-04-15,6998.48,6894.58,6999.56,6875.32,4610.9
2026-04-14,6916.51,6957.81,6958.38,6881.15,5007.9
2026-04-13,6810.72,6866.60,6890.45,6810.72,4858.5
2026-04-10,6820.81,6856.77,6934.18,6820.81,4693.1
2026-04-09,6716.67,6761.06,6814.59,6691.54,4667.9
2026-04-08,6577.48,6757.86,6757.86,6577.48,5067.5
2026-04-07,6432.16,6437.79,6495.88,6404.19,3371.4
2026-04-03,6503.65,6408.52,6507.33,6399.70,3591.5
2026-04-02,6589.96,6482.70,6595.83,6443.88,4291.8
2026-04-01,6625.74,6609.77,6641.97,6556.09,4393.3
2026-03-31,6626.74,6495.74,6647.13,6495.74,4938.3
2026-03-30,6601.73,6658.93,6666.97,6533.87,5289.2
2026-03-27,6463.70,6675.37,6712.45,6463.70,4948.6
2026-03-26,6594.78,6542.21,6639.99,6515.39,5107.4
2026-03-25,6521.38,6614.23,6646.52,6521.38,5766.7
2026-03-24,6420.74,6465.36,6465.36,6258.75,5668.2
2026-03-23,6459.59,6323.24,6555.77,6282.46,6891.7
2026-03-20,6644.31,6563.63,6726.62,6560.13,5615.3
2026-03-19,6721.31,6611.19,6733.08,6580.80,4704.0
2026-03-18,6778.80,6823.07,6831.27,6702.32,4643.2
2026-03-17,6917.70,6754.13,6927.39,6753.20,5092.7
2026-03-16,6941.95,6897.46,6946.35,6774.23,5539.7
2026-03-13,6976.22,6948.18,7067.41,6934.75,6155.6
2026-03-12,7077.30,7009.32,7077.60,6950.31,5834.2
2026-03-11,7074.83,7078.27,7116.72,7059.06,5993.1
2026-03-10,7006.50,7083.62,7084.60,7006.50,5607.2
2026-03-09,6914.17,6948.66,6972.42,6748.72,6881.6
2026-03-06,6952.15,7035.55,7070.22,6941.97,5466.3
2026-03-05,7030.56,6968.77,7036.50,6914.93,5719.9
2026-03-04,6846.81,6904.02,7029.40,6846.81,6142.3
2026-03-03,7271.09,6955.04,7298.50,6941.16,7468.8
2026-03-02,7234.24,7267.71,7322.96,7197.81,7586.7
2026-02-27,7215.29,7324.48,7325.41,7215.29,7019.7
2026-02-26,7254.10,7275.78,7286.78,7171.97,7033.2
2026-02-25,7122.92,7235.81,7264.88,7108.22,6977.7
2026-02-24,7115.69,7111.68,7153.97,7032.05,5696.8
2026-02-13,7076.48,7023.16,7131.16,7017.74,5650.9
2026-02-12,7041.52,7130.42,7136.42,7041.52,6577.1
2026-02-11,7016.47,7029.84,7081.49,7016.47,6198.3
2026-02-10,7054.51,7027.22,7054.51,6983.41,6045.3
2026-02-09,7047.20,7050.44,7054.97,6990.06,4766.4
2026-02-06,6853.43,6925.91,7007.86,6805.81,6457.0
2026-02-05,6990.97,6924.13,7002.64,6864.28,6327.6
2026-02-04,7037.35,7064.02,7071.96,6974.14,7107.1
2026-02-03,6891.06,7041.00,7041.42,6860.27,6412.6
2026-02-02,6981.61,6797.78,7029.74,6791.03,6411.8
2026-01-30,7098.94,7051.08,7154.07,6886.60,7754.8
2026-01-29,7222.91,7138.26,7278.60,7129.40,7992.0
2026-01-28,7238.33,7242.09,7268.80,7172.16,7067.4
2026-01-27,7142.79,7226.31,7259.26,7047.60,7659.6
2026-01-26,7339.76,7160.00,7369.77,7126.61,7221.4
2026-01-23,7125.02,7312.74,7312.74,7125.02,7633.2
2026-01-22,7119.60,7103.02,7161.33,7062.83,4728.3
2026-01-21,6991.97,7101.74,7121.76,6991.13,4342.2
2026-01-20,7121.46,7055.53,7146.48,6971.20,5257.8
2026-01-19,7024.64,7104.16,7137.02,7024.64,4973.6
2026-01-16,7019.19,7038.79,7070.39,6997.87,5410.7
2026-01-15,6854.67,6965.33,6965.33,6854.45,7853.5
2026-01-14,6875.16,6908.99,7023.46,6820.19,8237.7
2026-01-13,6936.22,6848.85,6948.75,6823.17,6524.3
2026-01-12,6846.20,6935.70,6943.77,6805.40,6231.2
2026-01-09,6663.43,6793.73,6808.20,6663.43,5940.2
2026-01-08,6647.62,6685.85,6718.88,6645.84,6655.7
2026-01-07,6614.59,6663.58,6684.43,6606.70,6756.5
2026-01-06,6500.98,6597.10,6597.10,6500.98,7334.3
2026-01-05,6383.84,6487.94,6488.47,6376.52,6371.4
2025-12-31,6368.41,6351.36,6377.40,6322.62,4907.5
2025-12-30,6272.61,6342.69,6375.24,6271.41,4372.1
2025-12-29,6344.21,6301.32,6361.77,6283.14,4823.2
2025-12-26,6299.40,6330.99,6358.94,6276.54,4867.7
2025-12-25,6200.30,6278.16,6293.84,6192.87,3928.4
2025-12-24,6135.14,6215.92,6227.04,6121.00,4246.6
2025-12-23,6110.14,6126.52,6165.68,6099.87,3977.4
2025-12-22,6051.75,6109.78,6121.28,6051.75,3710.4
2025-12-19,5986.04,6022.14,6042.08,5971.47,3626.6
2025-12-18,5979.06,5964.10,6034.71,5964.10,3177.2
2025-12-17,5902.20,6023.81,6036.92,5895.19,3686.3
2025-12-16,5980.81,5896.74,5981.42,5856.17,3763.2
2025-12-15,6006.11,5985.79,6040.73,5980.93,3641.2
2025-12-12,5987.71,6052.98,6065.88,5953.10,5008.3
2025-12-11,6065.01,5977.72,6075.35,5977.72,4452.3
2025-12-10,5985.77,6048.78,6061.57,5951.89,4224.2
2025-12-09,6022.78,5992.01,6051.72,5977.16,4149.9
2025-12-08,5991.77,6051.99,6058.61,5974.00,4588.1
2025-12-05,5913.06,5990.04,5991.93,5871.57,3799.5
2025-12-04,5921.22,5922.38,5951.09,5872.80,3582.3
2025-12-03,5964.10,5915.95,5980.68,5894.62,4016.9
2025-12-02,6020.45,5956.47,6020.45,5946.98,3751.7
2025-12-01,6005.55,6035.38,6046.60,6001.52,4241.9
2025-11-28,5868.12,5966.21,5966.21,5866.35,3642.4
2025-11-27,5884.87,5868.25,5965.66,5861.12,3829.3
2025-11-26,5872.35,5882.02,5948.43,5852.69,4164.0
2025-11-25,5828.15,5878.47,5930.47,5828.15,4643.0
2025-11-24,5793.96,5789.03,5821.25,5720.57,4466.8
2025-11-21,5916.46,5773.46,5931.45,5773.46,5229.9
2025-11-20,6110.11,6039.34,6133.11,6032.56,4648.3
2025-11-19,6068.71,6064.09,6111.65,6026.51,5099.7
2025-11-18,6145.53,6069.38,6162.74,6038.24,6240.4
2025-11-17,6136.88,6155.83,6167.70,6102.69,5458.6
2025-11-14,6143.82,6112.00,6197.09,6112.00,5477.2
2025-11-13,6070.60,6201.91,6218.54,6070.60,6100.4
2025-11-12,6097.13,6066.78,6125.93,6009.52,5591.9
2025-11-11,6186.38,6116.42,6206.93,6107.12,5125.0
2025-11-10,6190.02,6163.41,6217.51,6118.94,5930.4
2025-11-07,6095.67,6157.44,6181.75,6071.56,5789.8
2025-11-06,6024.09,6131.42,6133.39,6024.09,5506.5
2025-11-05,5870.52,6007.74,6035.07,5869.77,4681.8
2025-11-04,6083.40,5970.80,6096.00,5929.44,4773.5
2025-11-03,6108.15,6096.25,6112.41,5985.06,5665.6
2025-10-31,6156.64,6120.98,6234.13,6120.93,6446.8
2025-10-30,6218.58,6149.86,6236.79,6145.13,5619.7
2025-10-29,6117.52,6242.17,6242.35,6117.52,5336.6
2025-10-28,6110.21,6106.37,6161.96,6067.57,5140.3
2025-10-27,6103.41,6124.05,6148.38,6056.22,5766.2
2025-10-24,5940.58,6033.40,6033.40,5940.09,4833.2
2025-10-23,5894.09,5898.99,5909.90,5802.85,4281.4
2025-10-22,5930.52,5918.10,5957.04,5882.02,4152.0
2025-10-21,5907.53,5981.96,5984.96,5885.61,4645.5
2025-10-20,5923.69,5889.20,5968.11,5851.67,4274.6
2025-10-17,6064.15,5859.88,6084.88,5852.57,5069.9
2025-10-16,6111.47,6072.50,6150.83,6049.91,5260.2
2025-10-15,6039.52,6135.92,6135.92,5976.49,5530.2
2025-10-14,6269.27,6033.02,6303.85,6005.54,6837.1
2025-10-13,5974.53,6216.19,6229.03,5974.53,6134.0
2025-10-10,6342.11,6222.24,6348.86,6196.14,6575.2
2025-10-09,6311.42,6365.04,6390.25,6273.79,6998.0
2025-09-30,6208.36,6252.84,6268.48,6208.36,5649.5
2025-09-29,6102.44,6187.87,6201.36,6077.80,5536.4
2025-09-26,6164.57,6079.52,6195.35,6072.19,5928.5
2025-09-25,6195.43,6191.42,6244.80,6167.15,6124.2
2025-09-24,6014.85,6194.52,6197.71,5988.70,6427.8
2025-09-23,6084.09,6033.68,6111.46,5910.96,6521.2
