日期,开盘价,收盘价,最高价,最低价,成交量(万手)
2026-06-18,7703.07,7606.69,7712.13,7593.42,7464.9
2026-06-17,7777.28,7736.76,7784.03,7709.09,6301.1
2026-06-16,7821.20,7788.34,7829.96,7768.76,7071.5
2026-06-15,7755.62,7839.27,7861.19,7755.62,8233.5
2026-06-12,7636.14,7719.95,7782.81,7599.49,7939.6
2026-06-11,7579.69,7570.78,7604.55,7516.09,5851.3
2026-06-10,7619.88,7598.75,7648.52,7537.00,6564.4
2026-06-09,7649.98,7689.42,7696.83,7561.95,6930.5
2026-06-08,7677.51,7620.44,7771.72,7559.97,8097.4
2026-06-05,7908.57,7843.80,7962.66,7817.60,8363.1
2026-06-04,7979.43,7933.59,7994.79,7899.51,7723.1
2026-06-03,8003.33,8033.47,8081.11,7962.50,8558.2
2026-06-02,8057.39,8037.21,8066.72,7979.19,7846.4
2026-06-01,8006.61,8060.25,8079.15,7957.18,8700.3
2026-05-29,8000.32,7991.18,8070.00,7957.61,8872.9
2026-05-28,7988.35,7981.52,8036.52,7918.50,7510.0
2026-05-27,8074.66,7997.95,8120.61,7964.21,7752.1
2026-05-26,8043.69,8115.96,8126.21,8001.45,7536.4
2026-05-25,8001.10,8068.66,8072.17,7983.47,7225.8
2026-05-22,7914.24,7946.02,7982.67,7855.35,6718.4
2026-05-21,8038.60,7888.66,8105.44,7885.60,7906.4
2026-05-20,8019.16,8037.79,8054.51,7943.01,6945.9
2026-05-19,8006.01,8059.35,8064.05,7971.14,6457.1
2026-05-18,8063.69,8025.98,8073.63,7971.10,6512.7
2026-05-15,8249.70,8101.50,8260.22,8058.97,8516.8
2026-05-14,8435.65,8251.54,8440.39,8251.54,8801.2
2026-05-13,8378.28,8412.26,8417.18,8352.65,7967.8
2026-05-12,8448.81,8393.68,8448.81,8370.23,8568.8
2026-05-11,8417.42,8445.40,8463.10,8389.70,8969.7
2026-05-08,8397.08,8392.45,8465.68,8338.05,7981.0
2026-05-07,8441.33,8437.86,8451.27,8376.17,8737.0
2026-05-06,8322.17,8426.97,8438.74,8306.59,8409.7
2026-04-30,8330.12,8298.35,8359.84,8257.36,7581.6
2026-04-29,8146.34,8334.70,8346.52,8145.12,7780.5
2026-04-28,8154.45,8169.88,8180.41,8126.67,7316.2
2026-04-27,8191.12,8190.07,8220.14,8182.86,7151.0
2026-04-24,8150.69,8208.28,8237.93,8148.77,7324.0
2026-04-23,8214.70,8195.19,8230.45,8135.57,8386.7
2026-04-22,8154.54,8217.75,8218.34,8152.10,5931.1
2026-04-21,8146.09,8191.99,8198.46,8118.27,6222.0
2026-04-20,8111.64,8146.14,8168.38,8107.21,5767.8
2026-04-17,8137.29,8110.67,8145.64,8083.57,5497.5
2026-04-16,8076.90,8150.49,8160.53,8069.06,5340.7
2026-04-15,8101.45,8052.30,8101.98,8046.47,5531.8
2026-04-14,8052.68,8054.80,8062.31,7976.05,5568.5
2026-04-13,8000.14,8021.59,8046.22,7964.77,5567.4
2026-04-10,8021.20,8035.61,8119.10,8000.23,5782.1
2026-04-09,7987.99,7959.97,8014.04,7953.19,5313.8
2026-04-08,7890.71,8027.65,8027.65,7890.71,7335.7
2026-04-07,7751.36,7796.16,7821.85,7735.48,5296.6
2026-04-03,7852.49,7735.83,7855.61,7721.30,5176.7
2026-04-02,7907.06,7849.83,7927.41,7806.49,5899.1
2026-04-01,7919.47,7926.03,7950.55,7875.30,6457.4
2026-03-31,7911.86,7801.63,7965.73,7798.66,6785.9
2026-03-30,7881.27,7928.52,7938.14,7796.26,7026.0
2026-03-27,7800.90,7944.25,7978.44,7798.09,6667.8
2026-03-26,7937.02,7880.16,7980.20,7857.00,8109.5
2026-03-25,7828.40,7947.64,7965.50,7823.39,8297.9
2026-03-24,7688.32,7794.81,7794.82,7591.06,8388.5
